Answer Page,Metric,Company,Year,Value,Source Page
https://wikirate.org/Research_Group_Eticonsum+Some_products_with_Animal_Welfare_certification+Research_Group_Eticonsum+Lidl_Stiftung_Co_KG+2020,Research Group Eticonsum+Some products with Animal Welfare certification+Research Group Eticonsum,Lidl Stiftung & Co. KG,2020,10.0,
https://wikirate.org/Research_Group_Eticonsum+Some_products_with_Animal_Welfare_certification+Research_Group_Eticonsum+Carrefour_S_A+2020,Research Group Eticonsum+Some products with Animal Welfare certification+Research Group Eticonsum,Carrefour S.A.,2020,0.0,
https://wikirate.org/Research_Group_Eticonsum+Some_products_with_Animal_Welfare_certification+Research_Group_Eticonsum+Aldi_Nord+2020,Research Group Eticonsum+Some products with Animal Welfare certification+Research Group Eticonsum,Aldi Nord,2020,10.0,
https://wikirate.org/Research_Group_Eticonsum+Some_products_with_Animal_Welfare_certification+Research_Group_Eticonsum+Mercadona+2020,Research Group Eticonsum+Some products with Animal Welfare certification+Research Group Eticonsum,Mercadona,2020,0.0,
https://wikirate.org/Research_Group_Eticonsum+Some_products_with_Animal_Welfare_certification+Research_Group_Eticonsum+Grupo_Eroski+2020,Research Group Eticonsum+Some products with Animal Welfare certification+Research Group Eticonsum,Grupo Eroski,2020,10.0,
https://wikirate.org/Research_Group_Eticonsum+Some_products_with_Animal_Welfare_certification+Research_Group_Eticonsum+Distribuidora_Internacional_de_Alimentacion_SA_DIA+2020,Research Group Eticonsum+Some products with Animal Welfare certification+Research Group Eticonsum,Distribuidora Internacional de Alimentacion SA (DIA),2020,0.0,
https://wikirate.org/Research_Group_Eticonsum+Some_products_with_Animal_Welfare_certification+Research_Group_Eticonsum+Alcampo_S_A+2020,Research Group Eticonsum+Some products with Animal Welfare certification+Research Group Eticonsum,Alcampo S.A.,2020,10.0,
https://wikirate.org/Research_Group_Eticonsum+Some_products_with_Animal_Welfare_certification+Research_Group_Eticonsum+El_Corte_Ingles_S_A+2020,Research Group Eticonsum+Some products with Animal Welfare certification+Research Group Eticonsum,El Corte Ingles S.A.,2020,10.0,
https://wikirate.org/Research_Group_Eticonsum+Some_products_with_Animal_Welfare_certification+Research_Group_Eticonsum+Lidl_Stiftung_Co_KG+2019,Research Group Eticonsum+Some products with Animal Welfare certification+Research Group Eticonsum,Lidl Stiftung & Co. KG,2019,10.0,
https://wikirate.org/Research_Group_Eticonsum+Some_products_with_Animal_Welfare_certification+Research_Group_Eticonsum+Carrefour_S_A+2019,Research Group Eticonsum+Some products with Animal Welfare certification+Research Group Eticonsum,Carrefour S.A.,2019,0.0,
https://wikirate.org/Research_Group_Eticonsum+Some_products_with_Animal_Welfare_certification+Research_Group_Eticonsum+Aldi_Nord+2019,Research Group Eticonsum+Some products with Animal Welfare certification+Research Group Eticonsum,Aldi Nord,2019,10.0,
https://wikirate.org/Research_Group_Eticonsum+Some_products_with_Animal_Welfare_certification+Research_Group_Eticonsum+Mercadona+2019,Research Group Eticonsum+Some products with Animal Welfare certification+Research Group Eticonsum,Mercadona,2019,0.0,
https://wikirate.org/Research_Group_Eticonsum+Some_products_with_Animal_Welfare_certification+Research_Group_Eticonsum+Grupo_Eroski+2019,Research Group Eticonsum+Some products with Animal Welfare certification+Research Group Eticonsum,Grupo Eroski,2019,10.0,
https://wikirate.org/Research_Group_Eticonsum+Some_products_with_Animal_Welfare_certification+Research_Group_Eticonsum+Distribuidora_Internacional_de_Alimentacion_SA_DIA+2019,Research Group Eticonsum+Some products with Animal Welfare certification+Research Group Eticonsum,Distribuidora Internacional de Alimentacion SA (DIA),2019,0.0,
https://wikirate.org/Research_Group_Eticonsum+Some_products_with_Animal_Welfare_certification+Research_Group_Eticonsum+Alcampo_S_A+2019,Research Group Eticonsum+Some products with Animal Welfare certification+Research Group Eticonsum,Alcampo S.A.,2019,10.0,
https://wikirate.org/Research_Group_Eticonsum+Some_products_with_Animal_Welfare_certification+Research_Group_Eticonsum+El_Corte_Ingles_S_A+2019,Research Group Eticonsum+Some products with Animal Welfare certification+Research Group Eticonsum,El Corte Ingles S.A.,2019,10.0,
